Activity,Person's Residence in Preparedness Region,Person's Residence in Local Health Department Jurisdiction,Person's Residence in County,Vaccine Type,Facility Type,Dose Number,Week,Month,Year,Data as of,Number of Doses
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Hospital,First Dose,52,December,2020,12/24/20,9
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Hospital,First Dose,52,December,2020,12/26/20,4
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Hospital,First Dose,53,December,2020,12/27/20,2
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Hospital,First Dose,53,December,2020,12/28/20,65
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Hospital,First Dose,53,December,2020,12/29/20,105
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Hospital,First Dose,53,December,2020,12/30/20,98
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Hospital,First Dose,53,December,2020,12/31/20,69
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Hospital,First Dose,53,January,2021,1/1/21,8
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Hospital,First Dose,53,January,2021,1/2/21,2
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Local Health Department,First Dose,52,December,2020,12/23/20,4
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Local Health Department,First Dose,53,December,2020,12/28/20,8
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Local Health Department,First Dose,53,December,2020,12/29/20,12
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Local Health Department,First Dose,53,December,2020,12/30/20,5
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Other,First Dose,51,December,2020,12/16/20,1
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Other,First Dose,53,December,2020,12/28/20,1
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Other,First Dose,53,December,2020,12/29/20,1
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Other,First Dose,53,December,2020,12/30/20,1
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Other,First Dose,53,December,2020,12/31/20,3
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Other,First Dose,53,January,2021,1/1/21,1
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Other,First Dose,53,January,2021,1/2/21,23
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Pharmacy,First Dose,51,December,2020,12/14/20,1
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Pharmacy,First Dose,53,December,2020,12/28/20,468
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Pharmacy,First Dose,53,December,2020,12/29/20,321
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Pharmacy,First Dose,53,December,2020,12/30/20,174
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Pharmacy,First Dose,53,December,2020,12/31/20,15
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Pharmacy,First Dose,53,January,2021,1/1/21,1
2020-21,Region 2N,Macomb County Health Department,Macomb,Moderna,Pharmacy,First Dose,53,January,2021,1/2/21,12
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Hospital,First Dose,51,December,2020,12/15/20,22
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Hospital,First Dose,51,December,2020,12/16/20,44
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Hospital,First Dose,51,December,2020,12/17/20,153
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Hospital,First Dose,51,December,2020,12/18/20,592
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Hospital,First Dose,51,December,2020,12/19/20,279
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Hospital,First Dose,52,December,2020,12/20/20,101
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Hospital,First Dose,52,December,2020,12/21/20,893
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Hospital,First Dose,52,December,2020,12/22/20,805
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Hospital,First Dose,52,December,2020,12/23/20,1179
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Hospital,First Dose,52,December,2020,12/24/20,118
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Hospital,First Dose,52,December,2020,12/26/20,207
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Hospital,First Dose,53,December,2020,12/27/20,60
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Hospital,First Dose,53,December,2020,12/28/20,933
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Hospital,First Dose,53,December,2020,12/29/20,946
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Hospital,First Dose,53,December,2020,12/30/20,1035
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Hospital,First Dose,53,December,2020,12/31/20,440
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Hospital,First Dose,53,January,2021,1/1/21,6
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Hospital,First Dose,53,January,2021,1/2/21,329
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Local Health Department,First Dose,51,December,2020,12/18/20,138
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Local Health Department,First Dose,51,December,2020,12/19/20,116
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Local Health Department,First Dose,52,December,2020,12/20/20,9
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Local Health Department,First Dose,52,December,2020,12/21/20,105
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Local Health Department,First Dose,52,December,2020,12/22/20,105
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Local Health Department,First Dose,52,December,2020,12/23/20,86
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Local Health Department,First Dose,53,December,2020,12/28/20,104
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Local Health Department,First Dose,53,December,2020,12/29/20,113
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Local Health Department,First Dose,53,December,2020,12/30/20,216
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Local Health Department,First Dose,53,December,2020,12/31/20,1
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Other,First Dose,51,December,2020,12/14/20,1
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Other,First Dose,51,December,2020,12/18/20,1
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Other,First Dose,52,December,2020,12/21/20,1
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Other,First Dose,52,December,2020,12/22/20,1
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Other,First Dose,53,December,2020,12/28/20,2
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Other,First Dose,53,December,2020,12/31/20,2
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Other,First Dose,53,January,2021,1/1/21,1
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Pharmacy,First Dose,51,December,2020,12/18/20,11
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Pharmacy,First Dose,51,December,2020,12/19/20,1
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Pharmacy,First Dose,52,December,2020,12/20/20,1
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Pharmacy,First Dose,52,December,2020,12/21/20,28
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Pharmacy,First Dose,52,December,2020,12/22/20,45
2020-21,Region 2N,Macomb County Health Department,Macomb,Pfizer,Pharmacy,First Dose,52,December,2020,12/23/20,19
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Federally Qualified Health Center,First Dose,52,December,2020,12/23/20,1
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Federally Qualified Health Center,First Dose,53,December,2020,12/30/20,14
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Hospital,First Dose,51,December,2020,12/14/20,1
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Hospital,First Dose,52,December,2020,12/23/20,14
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Hospital,First Dose,52,December,2020,12/24/20,69
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Hospital,First Dose,52,December,2020,12/26/20,19
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Hospital,First Dose,53,December,2020,12/27/20,24
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Hospital,First Dose,53,December,2020,12/28/20,216
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Hospital,First Dose,53,December,2020,12/29/20,245
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Hospital,First Dose,53,December,2020,12/30/20,206
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Hospital,First Dose,53,December,2020,12/31/20,109
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Hospital,First Dose,53,January,2021,1/2/21,3
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Internal Medicine,First Dose,51,December,2020,12/14/20,1
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Internal Medicine,First Dose,52,December,2020,12/26/20,1
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Local Health Department,First Dose,52,December,2020,12/22/20,1
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Local Health Department,First Dose,52,December,2020,12/23/20,14
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Local Health Department,First Dose,52,December,2020,12/26/20,1
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Local Health Department,First Dose,53,December,2020,12/27/20,8
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Local Health Department,First Dose,53,December,2020,12/28/20,17
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Local Health Department,First Dose,53,December,2020,12/29/20,29
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Local Health Department,First Dose,53,December,2020,12/30/20,31
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Other,First Dose,53,December,2020,12/28/20,2
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Other,First Dose,53,December,2020,12/29/20,1
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Other,First Dose,53,December,2020,12/30/20,3
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Other,First Dose,53,December,2020,12/31/20,5
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Other,First Dose,53,January,2021,1/2/21,26
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Pharmacy,First Dose,53,December,2020,12/28/20,672
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Pharmacy,First Dose,53,December,2020,12/29/20,179
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Pharmacy,First Dose,53,December,2020,12/30/20,558
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Pharmacy,First Dose,53,December,2020,12/31/20,30
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Pharmacy,First Dose,53,January,2021,1/1/21,2
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Pharmacy,First Dose,53,January,2021,1/2/21,271
2020-21,Region 2N,Oakland County Health Department,Oakland,Moderna,Tribal Health,First Dose,53,December,2020,12/30/20,1
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Family Practice,First Dose,53,January,2021,1/1/21,1
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,51,December,2020,12/14/20,2
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,51,December,2020,12/15/20,66
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,51,December,2020,12/16/20,198
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,51,December,2020,12/17/20,504
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,51,December,2020,12/18/20,1809
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,51,December,2020,12/19/20,877
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,52,December,2020,12/20/20,252
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,52,December,2020,12/21/20,1845
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,52,December,2020,12/22/20,2296
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,52,December,2020,12/23/20,2369
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,52,December,2020,12/24/20,279
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,52,December,2020,12/25/20,4
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,52,December,2020,12/26/20,487
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,53,December,2020,12/27/20,162
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,53,December,2020,12/28/20,1713
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,53,December,2020,12/29/20,1548
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,53,December,2020,12/30/20,1576
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,53,December,2020,12/31/20,876
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,53,January,2021,1/1/21,88
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Hospital,First Dose,53,January,2021,1/2/21,532
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Local Health Department,First Dose,51,December,2020,12/17/20,15
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Local Health Department,First Dose,51,December,2020,12/18/20,171
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Local Health Department,First Dose,51,December,2020,12/19/20,144
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Local Health Department,First Dose,52,December,2020,12/20/20,93
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Local Health Department,First Dose,52,December,2020,12/21/20,179
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Local Health Department,First Dose,52,December,2020,12/22/20,259
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Local Health Department,First Dose,52,December,2020,12/23/20,68
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Local Health Department,First Dose,52,December,2020,12/26/20,1
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Local Health Department,First Dose,53,December,2020,12/28/20,71
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Local Health Department,First Dose,53,December,2020,12/29/20,148
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Local Health Department,First Dose,53,December,2020,12/30/20,324
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Local Health Department,First Dose,53,December,2020,12/31/20,3
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Other,First Dose,51,December,2020,12/14/20,1
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Other,First Dose,51,December,2020,12/18/20,1
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Other,First Dose,52,December,2020,12/21/20,1
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Pharmacy,First Dose,51,December,2020,12/18/20,43
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Pharmacy,First Dose,51,December,2020,12/19/20,4
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Pharmacy,First Dose,52,December,2020,12/20/20,6
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Pharmacy,First Dose,52,December,2020,12/21/20,61
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Pharmacy,First Dose,52,December,2020,12/22/20,73
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Pharmacy,First Dose,52,December,2020,12/23/20,50
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Pharmacy,First Dose,52,December,2020,12/24/20,1
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Specialty Provider,First Dose,51,December,2020,12/18/20,1
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Specialty Provider,First Dose,52,December,2020,12/23/20,1
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Specialty Provider,First Dose,52,December,2020,12/24/20,1
2020-21,Region 2N,Oakland County Health Department,Oakland,Pfizer,Specialty Provider,First Dose,53,December,2020,12/30/20,1
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Federally Qualified Health Center,First Dose,53,December,2020,12/31/20,6
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Hospital,First Dose,52,December,2020,12/22/20,2
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Hospital,First Dose,52,December,2020,12/23/20,6
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Hospital,First Dose,52,December,2020,12/24/20,5
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Hospital,First Dose,53,December,2020,12/28/20,15
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Hospital,First Dose,53,December,2020,12/29/20,64
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Hospital,First Dose,53,December,2020,12/30/20,66
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Hospital,First Dose,53,December,2020,12/31/20,20
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Hospital,First Dose,53,January,2021,1/1/21,1
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Local Health Department,First Dose,52,December,2020,12/22/20,10
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Local Health Department,First Dose,52,December,2020,12/23/20,38
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Local Health Department,First Dose,53,December,2020,12/28/20,73
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Local Health Department,First Dose,53,December,2020,12/29/20,83
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Other,First Dose,51,December,2020,12/14/20,1
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Other,First Dose,53,January,2021,1/2/21,4
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Pharmacy,First Dose,53,December,2020,12/28/20,53
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Pharmacy,First Dose,53,December,2020,12/29/20,22
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Pharmacy,First Dose,53,December,2020,12/30/20,182
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Moderna,Pharmacy,First Dose,53,January,2021,1/2/21,5
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,51,December,2020,12/14/20,3
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,51,December,2020,12/15/20,2
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,51,December,2020,12/16/20,3
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,51,December,2020,12/17/20,10
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,51,December,2020,12/18/20,194
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,51,December,2020,12/19/20,54
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,52,December,2020,12/20/20,15
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,52,December,2020,12/21/20,92
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,52,December,2020,12/22/20,167
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,52,December,2020,12/23/20,156
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,52,December,2020,12/24/20,42
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,52,December,2020,12/26/20,3
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,53,December,2020,12/27/20,2
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,53,December,2020,12/28/20,82
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,53,December,2020,12/29/20,99
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,53,December,2020,12/30/20,136
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,53,December,2020,12/31/20,50
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,53,January,2021,1/1/21,1
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Hospital,First Dose,53,January,2021,1/2/21,16
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Local Health Department,First Dose,51,December,2020,12/18/20,23
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Local Health Department,First Dose,51,December,2020,12/19/20,8
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Local Health Department,First Dose,52,December,2020,12/21/20,10
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Local Health Department,First Dose,52,December,2020,12/22/20,15
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Local Health Department,First Dose,52,December,2020,12/23/20,12
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Local Health Department,First Dose,53,December,2020,12/28/20,6
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Local Health Department,First Dose,53,December,2020,12/29/20,6
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Local Health Department,First Dose,53,December,2020,12/30/20,11
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Pharmacy,First Dose,51,December,2020,12/18/20,2
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Pharmacy,First Dose,51,December,2020,12/19/20,1
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Pharmacy,First Dose,52,December,2020,12/21/20,1
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Pharmacy,First Dose,52,December,2020,12/22/20,15
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Pharmacy,First Dose,52,December,2020,12/23/20,16
2020-21,Region 2N,St. Clair County Health Department,St. Clair,Pfizer,Pharmacy,First Dose,52,December,2020,12/24/20,1
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Federally Qualified Health Center,First Dose,53,December,2020,12/30/20,31
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Federally Qualified Health Center,First Dose,53,December,2020,12/31/20,1
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Hospital,First Dose,52,December,2020,12/23/20,1
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Hospital,First Dose,52,December,2020,12/24/20,1
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Hospital,First Dose,52,December,2020,12/26/20,1
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Hospital,First Dose,53,December,2020,12/27/20,3
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Hospital,First Dose,53,December,2020,12/28/20,24
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Hospital,First Dose,53,December,2020,12/29/20,26
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Hospital,First Dose,53,December,2020,12/30/20,26
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Hospital,First Dose,53,December,2020,12/31/20,5
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Local Health Department,First Dose,52,December,2020,12/23/20,6
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Local Health Department,First Dose,53,December,2020,12/28/20,6
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Local Health Department,First Dose,53,December,2020,12/29/20,7
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Local Health Department,First Dose,53,December,2020,12/30/20,20
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Other,First Dose,53,December,2020,12/29/20,5
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Other,First Dose,53,December,2020,12/30/20,3
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Other,First Dose,53,January,2021,1/2/21,8
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Pharmacy,First Dose,51,December,2020,12/14/20,1
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Pharmacy,First Dose,53,December,2020,12/28/20,142
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Pharmacy,First Dose,53,December,2020,12/29/20,29
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Pharmacy,First Dose,53,December,2020,12/30/20,48
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Pharmacy,First Dose,53,December,2020,12/31/20,8
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Pharmacy,First Dose,53,January,2021,1/1/21,8
2020-21,Region 2S,City of Detroit Health Department,Detroit,Moderna,Pharmacy,First Dose,53,January,2021,1/2/21,45
2020-21,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,First Dose,51,December,2020,12/15/20,2
2020-21,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,First Dose,51,December,2020,12/16/20,4
2020-21,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,First Dose,51,December,2020,12/17/20,37
2020-21,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,First Dose,51,December,2020,12/18/20,150
2020-21,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,First Dose,51,December,2020,12/19/20,65
2020-21,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,First Dose,52,December,2020,12/20/20,36
2020-21,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,First Dose,52,December,2020,12/21/20,172
2020-21,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,First Dose,52,December,2020,12/22/20,213
2020-21,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,First Dose,52,December,2020,12/23/20,254
2020-21,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,First Dose,52,December,2020,12/24/20,57
2020-21,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,First Dose,52,December,2020,12/25/20,2
2020-21,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,First Dose,52,December,2020,12/26/20,50
2020-21,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,First Dose,53,December,2020,12/27/20,41
2020-21,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,First Dose,53,December,2020,12/28/20,181
2020-21,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,First Dose,53,December,2020,12/29/20,175
