Year Range,Persons Residence in Preparedness Region,Persons Residence in Local Health Department Jurisdiction,Persons Residence in County,Vaccine Type,Facility Type,Dose Number,Week,Month,Year,Date,Number of Doses
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Hospital,Second Dose,2,January,2021,1/12/2021,86
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Hospital,Second Dose,2,January,2021,1/13/2021,68
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Hospital,Second Dose,2,January,2021,1/14/2021,50
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Hospital,Second Dose,2,January,2021,1/15/2021,44
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Hospital,Second Dose,2,January,2021,1/16/2021,5
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Hospital,Second Dose,3,January,2021,1/17/2021,2
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Hospital,Second Dose,3,January,2021,1/18/2021,74
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Hospital,Second Dose,3,January,2021,1/19/2021,75
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Hospital,Second Dose,3,January,2021,1/20/2021,63
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Hospital,Second Dose,3,January,2021,1/21/2021,52
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Hospital,Second Dose,3,January,2021,1/22/2021,52
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Hospital,Second Dose,3,January,2021,1/23/2021,21
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Hospital,Second Dose,4,January,2021,1/24/2021,9
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Hospital,Second Dose,4,January,2021,1/25/2021,76
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Hospital,Second Dose,4,January,2021,1/26/2021,54
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Internal Medicine,First Dose,2,January,2021,1/15/2021,2
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,1,January,2021,1/4/2021,9
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,1,January,2021,1/5/2021,42
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,1,January,2021,1/6/2021,21
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,1,January,2021,1/7/2021,27
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,1,January,2021,1/8/2021,25
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,1,January,2021,1/9/2021,7
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,2,January,2021,1/10/2021,1
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,2,January,2021,1/11/2021,55
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,2,January,2021,1/12/2021,67
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,2,January,2021,1/13/2021,75
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,2,January,2021,1/14/2021,63
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,2,January,2021,1/15/2021,26
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,2,January,2021,1/16/2021,10
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,3,January,2021,1/17/2021,6
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,3,January,2021,1/18/2021,20
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,3,January,2021,1/19/2021,15
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,3,January,2021,1/20/2021,34
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,3,January,2021,1/21/2021,3
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,3,January,2021,1/22/2021,27
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,3,January,2021,1/23/2021,1
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,4,January,2021,1/25/2021,16
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,First Dose,4,January,2021,1/26/2021,2
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,Second Dose,1,January,2021,1/5/2021,2
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,Second Dose,1,January,2021,1/6/2021,8
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,Second Dose,1,January,2021,1/7/2021,6
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,Second Dose,1,January,2021,1/8/2021,22
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,Second Dose,1,January,2021,1/9/2021,13
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,Second Dose,2,January,2021,1/10/2021,1
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,Second Dose,2,January,2021,1/11/2021,25
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,Second Dose,2,January,2021,1/12/2021,27
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,Second Dose,2,January,2021,1/13/2021,15
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,Second Dose,2,January,2021,1/14/2021,4
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,Second Dose,3,January,2021,1/17/2021,1
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,Second Dose,3,January,2021,1/18/2021,8
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,Second Dose,3,January,2021,1/19/2021,17
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,Second Dose,3,January,2021,1/20/2021,38
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,Second Dose,3,January,2021,1/21/2021,3
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,Second Dose,3,January,2021,1/22/2021,2
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,Second Dose,4,January,2021,1/25/2021,3
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Local Health Department,Second Dose,4,January,2021,1/26/2021,40
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Other,First Dose,3,January,2021,1/19/2021,1
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Other,First Dose,3,January,2021,1/20/2021,4
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Other,First Dose,3,January,2021,1/21/2021,2
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Other,First Dose,3,January,2021,1/23/2021,2
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Other,First Dose,4,January,2021,1/25/2021,2
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Other,First Dose,4,January,2021,1/26/2021,6
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Other,Second Dose,3,January,2021,1/23/2021,1
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pediatrics,First Dose,2,January,2021,1/11/2021,5
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pediatrics,First Dose,2,January,2021,1/12/2021,3
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pediatrics,First Dose,2,January,2021,1/15/2021,6
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pediatrics,First Dose,2,January,2021,1/16/2021,2
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pediatrics,First Dose,3,January,2021,1/18/2021,8
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pediatrics,First Dose,3,January,2021,1/19/2021,3
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pediatrics,First Dose,3,January,2021,1/22/2021,2
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pediatrics,First Dose,3,January,2021,1/23/2021,9
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pediatrics,Second Dose,3,January,2021,1/23/2021,1
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pharmacy,First Dose,2,January,2021,1/11/2021,3
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pharmacy,First Dose,2,January,2021,1/12/2021,1
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pharmacy,First Dose,2,January,2021,1/15/2021,8
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pharmacy,First Dose,3,January,2021,1/18/2021,9
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pharmacy,First Dose,3,January,2021,1/19/2021,2
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pharmacy,First Dose,3,January,2021,1/20/2021,4
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pharmacy,First Dose,3,January,2021,1/21/2021,3
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pharmacy,First Dose,3,January,2021,1/22/2021,4
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pharmacy,First Dose,4,January,2021,1/24/2021,1
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pharmacy,First Dose,4,January,2021,1/25/2021,16
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pharmacy,First Dose,4,January,2021,1/26/2021,9
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pharmacy,Second Dose,2,January,2021,1/11/2021,12
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pharmacy,Second Dose,2,January,2021,1/12/2021,7
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pharmacy,Second Dose,2,January,2021,1/13/2021,5
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pharmacy,Second Dose,2,January,2021,1/14/2021,2
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Pharmacy,Second Dose,2,January,2021,1/15/2021,2
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Specialty Provider,First Dose,2,January,2021,1/14/2021,2
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Specialty Provider,First Dose,2,January,2021,1/15/2021,1
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Specialty Provider,First Dose,3,January,2021,1/19/2021,1
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Specialty Provider,First Dose,4,January,2021,1/25/2021,1
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Specialty Provider,Second Dose,1,January,2021,1/8/2021,1
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Specialty Provider,Second Dose,3,January,2021,1/19/2021,1
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Urgent Care,First Dose,1,January,2021,1/5/2021,5
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Urgent Care,First Dose,1,January,2021,1/6/2021,4
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Urgent Care,First Dose,1,January,2021,1/7/2021,3
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Urgent Care,First Dose,1,January,2021,1/9/2021,5
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Urgent Care,First Dose,3,January,2021,1/20/2021,5
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Urgent Care,First Dose,3,January,2021,1/21/2021,4
2021-22,Region 1,Livingston County Health Department,Livingston,Pfizer,Urgent Care,First Dose,4,January,2021,1/26/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Federally Qualified Health Center,First Dose,1,January,2021,1/6/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Federally Qualified Health Center,First Dose,1,January,2021,1/7/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Federally Qualified Health Center,First Dose,1,January,2021,1/8/2021,3
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Federally Qualified Health Center,First Dose,2,January,2021,1/12/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,1,January,2021,1/3/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,1,January,2021,1/4/2021,36
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,1,January,2021,1/5/2021,41
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,1,January,2021,1/6/2021,58
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,1,January,2021,1/7/2021,51
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,1,January,2021,1/8/2021,46
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,1,January,2021,1/9/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,2,January,2021,1/11/2021,66
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,2,January,2021,1/12/2021,130
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,2,January,2021,1/13/2021,8
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,2,January,2021,1/14/2021,7
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,2,January,2021,1/15/2021,11
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,3,January,2021,1/18/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,3,January,2021,1/19/2021,8
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,3,January,2021,1/21/2021,2
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,3,January,2021,1/22/2021,77
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,4,January,2021,1/24/2021,2
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,4,January,2021,1/25/2021,6
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,First Dose,4,January,2021,1/26/2021,9
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,Second Dose,3,January,2021,1/21/2021,2
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,Second Dose,3,January,2021,1/22/2021,3
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,Second Dose,4,January,2021,1/25/2021,26
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Hospital,Second Dose,4,January,2021,1/26/2021,22
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,First Dose,1,January,2021,1/4/2021,6
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,First Dose,1,January,2021,1/5/2021,10
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,First Dose,1,January,2021,1/6/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,First Dose,1,January,2021,1/7/2021,9
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,First Dose,1,January,2021,1/8/2021,7
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,First Dose,1,January,2021,1/9/2021,10
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,First Dose,2,January,2021,1/11/2021,11
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,First Dose,2,January,2021,1/12/2021,4
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,First Dose,2,January,2021,1/13/2021,9
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,First Dose,2,January,2021,1/14/2021,106
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,First Dose,2,January,2021,1/15/2021,17
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,First Dose,3,January,2021,1/19/2021,6
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,First Dose,3,January,2021,1/20/2021,12
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,First Dose,3,January,2021,1/21/2021,131
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,First Dose,3,January,2021,1/22/2021,36
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,First Dose,3,January,2021,1/23/2021,14
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,First Dose,4,January,2021,1/25/2021,13
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,First Dose,4,January,2021,1/26/2021,11
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,Second Dose,3,January,2021,1/20/2021,2
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,Second Dose,3,January,2021,1/21/2021,2
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,Second Dose,3,January,2021,1/22/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,Second Dose,3,January,2021,1/23/2021,4
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,Second Dose,4,January,2021,1/24/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,Second Dose,4,January,2021,1/25/2021,45
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Local Health Department,Second Dose,4,January,2021,1/26/2021,9
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Long Term Care,First Dose,1,January,2021,1/6/2021,2
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Other,First Dose,1,January,2021,1/3/2021,3
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Other,First Dose,1,January,2021,1/5/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Other,First Dose,1,January,2021,1/9/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Other,First Dose,2,January,2021,1/14/2021,4
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Other,First Dose,2,January,2021,1/15/2021,5
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Other,First Dose,2,January,2021,1/16/2021,7
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Other,First Dose,3,January,2021,1/17/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Other,First Dose,3,January,2021,1/20/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Other,First Dose,3,January,2021,1/21/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Other,First Dose,3,January,2021,1/23/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,1,January,2021,1/3/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,1,January,2021,1/4/2021,15
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,1,January,2021,1/5/2021,2
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,1,January,2021,1/6/2021,51
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,1,January,2021,1/7/2021,3
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,1,January,2021,1/8/2021,16
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,1,January,2021,1/9/2021,30
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,2,January,2021,1/11/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,2,January,2021,1/12/2021,6
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,2,January,2021,1/13/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,2,January,2021,1/14/2021,4
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,2,January,2021,1/15/2021,131
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,3,January,2021,1/17/2021,17
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,3,January,2021,1/18/2021,21
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,3,January,2021,1/19/2021,21
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,3,January,2021,1/20/2021,4
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,3,January,2021,1/21/2021,49
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,3,January,2021,1/22/2021,10
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,3,January,2021,1/23/2021,171
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,First Dose,4,January,2021,1/25/2021,9
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Pharmacy,Second Dose,4,January,2021,1/25/2021,4
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Moderna,Tribal Health,First Dose,2,January,2021,1/13/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Home Health Provider,First Dose,1,January,2021,1/9/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Home Health Provider,First Dose,2,January,2021,1/11/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Home Health Provider,First Dose,2,January,2021,1/12/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Home Health Provider,First Dose,3,January,2021,1/18/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Home Health Provider,First Dose,3,January,2021,1/19/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Home Health Provider,First Dose,3,January,2021,1/20/2021,2
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Home Health Provider,First Dose,3,January,2021,1/23/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Home Health Provider,First Dose,4,January,2021,1/24/2021,2
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Home Health Provider,First Dose,4,January,2021,1/25/2021,2
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Home Health Provider,First Dose,4,January,2021,1/26/2021,2
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Home Health Provider,Second Dose,2,January,2021,1/14/2021,3
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Home Health Provider,Second Dose,2,January,2021,1/16/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Home Health Provider,Second Dose,3,January,2021,1/18/2021,2
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Home Health Provider,Second Dose,3,January,2021,1/20/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Home Health Provider,Second Dose,3,January,2021,1/23/2021,3
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,1,January,2021,1/4/2021,59
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,1,January,2021,1/5/2021,53
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,1,January,2021,1/6/2021,67
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,1,January,2021,1/7/2021,15
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,1,January,2021,1/8/2021,33
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,1,January,2021,1/9/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,2,January,2021,1/11/2021,11
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,2,January,2021,1/12/2021,19
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,2,January,2021,1/13/2021,12
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,2,January,2021,1/14/2021,74
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,2,January,2021,1/15/2021,120
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,2,January,2021,1/16/2021,78
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,3,January,2021,1/17/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,3,January,2021,1/18/2021,40
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,3,January,2021,1/19/2021,190
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,3,January,2021,1/20/2021,162
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,3,January,2021,1/21/2021,126
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,3,January,2021,1/22/2021,116
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,3,January,2021,1/23/2021,99
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,4,January,2021,1/24/2021,3
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,4,January,2021,1/25/2021,106
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,First Dose,4,January,2021,1/26/2021,104
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,Second Dose,1,January,2021,1/5/2021,1
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,Second Dose,1,January,2021,1/7/2021,7
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,Second Dose,1,January,2021,1/8/2021,100
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,Second Dose,1,January,2021,1/9/2021,2
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,Second Dose,2,January,2021,1/11/2021,58
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,Second Dose,2,January,2021,1/12/2021,59
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,Second Dose,2,January,2021,1/13/2021,85
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,Second Dose,2,January,2021,1/14/2021,17
2021-22,Region 1,Mid Michigan District Health Department,Clinton,Pfizer,Hospital,Second Dose,2,January,2021,1/15/2021,38
